,CodaViolation,Condition,Item,OnsetViolation,PageType,ReactionTime,Response,Subject,TrialNumber,Version,Vowel,YesPosition
135,1,GB,flathk,0,Test,5308,0,A11T1Z2NVJ6DTP,2,3,a,1
136,1,GB,blofk,0,Test,1816,0,A11T1Z2NVJ6DTP,3,3,o,1
137,0,GG,troom,0,Test,2020,1,A11T1Z2NVJ6DTP,4,3,oo,1
138,1,GB,shritp,0,Test,2925,0,A11T1Z2NVJ6DTP,5,3,i,0
139,0,BG,thloo,1,Test,3217,1,A11T1Z2NVJ6DTP,6,3,oo,0
140,1,BB,thnukp,1,Test,2590,0,A11T1Z2NVJ6DTP,7,3,u,0
141,0,BG,vmep,1,Test,2090,0,A11T1Z2NVJ6DTP,8,3,e,1
142,1,GB,spoz,0,Test,2896,1,A11T1Z2NVJ6DTP,9,3,o,1
143,0,GG,klep,0,Test,1508,1,A11T1Z2NVJ6DTP,10,3,e,0
144,1,GB,frid,0,Test,2681,0,A11T1Z2NVJ6DTP,11,3,i,1
145,1,best,frotion,1,Catch,1668,1,A11T1Z2NVJ6DTP,12,3,,0
146,1,BB,zdumth,1,Test,2418,0,A11T1Z2NVJ6DTP,13,3,u,1
147,0,GG,sle,0,Test,1779,1,A11T1Z2NVJ6DTP,14,3,e,0
148,0,GG,splot,0,Test,1877,1,A11T1Z2NVJ6DTP,15,3,o,1
149,1,worst,krlisg,1,Catch,1612,0,A11T1Z2NVJ6DTP,16,3,,1
150,1,worst,lbifth,1,Catch,3855,0,A11T1Z2NVJ6DTP,17,3,,1
151,0,BG,shpizz,1,Test,2788,0,A11T1Z2NVJ6DTP,18,3,i,0
152,1,best,dellous,1,Catch,1393,1,A11T1Z2NVJ6DTP,19,3,,0
153,0,GG,throoz,0,Test,1674,1,A11T1Z2NVJ6DTP,20,3,oo,1
154,0,BG,srid,1,Test,2252,1,A11T1Z2NVJ6DTP,21,3,i,0
155,1,worst,zgdivl,1,Catch,1417,0,A11T1Z2NVJ6DTP,22,3,,0
156,1,best,bressic,1,Catch,1411,1,A11T1Z2NVJ6DTP,23,3,,0
