,PageID,SelectedText,WorkerID
39,568,[u'sounding out'],A0501481M8MAO691NT54
40,558,[34],A0501481M8MAO691NT54
41,562,[u'male'],A0501481M8MAO691NT54
42,566,[u'english'],A0501481M8MAO691NT54
43,564,[u'english'],A0501481M8MAO691NT54
495,562,[u'female'],A13WWY2NOP6TC0
496,568,[u'if i could pronounce them'],A13WWY2NOP6TC0
497,564,[u'english'],A13WWY2NOP6TC0
498,558,[32],A13WWY2NOP6TC0
499,566,[u'english'],A13WWY2NOP6TC0
1017,562,[u'female'],A17T6TVHCLK3MH
1018,558,[53],A17T6TVHCLK3MH
1019,568,[u'I tried to pronounce the words to see how they sounded.'],A17T6TVHCLK3MH
1020,566,[u'English'],A17T6TVHCLK3MH
1021,564,[u'English'],A17T6TVHCLK3MH
1325,558,[29],A1AXTO77FG14E7
1326,564,[u'English'],A1AXTO77FG14E7
1327,568,[u'Words that I thought would be English'],A1AXTO77FG14E7
1328,562,[u'female'],A1AXTO77FG14E7
1329,566,[u'English'],A1AXTO77FG14E7
1370,558,[36],A1BTABA4W0RU55
1371,562,[u'female'],A1BTABA4W0RU55
1372,566,[u'English'],A1BTABA4W0RU55
1373,564,[u'English'],A1BTABA4W0RU55
1374,568,[u'Sounding them out and the placement of consanents and vowels'],A1BTABA4W0RU55
1504,568,[u'Simply saying it out loud to see if I got tongue-tied or not. I slipped a few into sentences to see if they fit the cadence of English.'],A1CZK35VFK4EQH
1505,558,[23],A1CZK35VFK4EQH
1506,564,[u'English'],A1CZK35VFK4EQH
1507,562,[u'female'],A1CZK35VFK4EQH
1508,566,[u'English'],A1CZK35VFK4EQH
1659,558,[19],A1DY2HA6GUYR2T
1660,562,[u'female'],A1DY2HA6GUYR2T
1661,566,[u'English'],A1DY2HA6GUYR2T
1662,564,[u'English'],A1DY2HA6GUYR2T
1663,568,[u'Words that were simpler sounded like they could be English words'],A1DY2HA6GUYR2T
1741,568,[u'my knowledge of the English language'],A1EWD6HF7R2KC1
1742,564,[u'English'],A1EWD6HF7R2KC1
1743,562,[u'female'],A1EWD6HF7R2KC1
1744,558,[31],A1EWD6HF7R2KC1
1745,566,[u'English'],A1EWD6HF7R2KC1
1918,564,[u'                                            en      g                                    lish  '],A1G93QD73GJ4R7
1919,558,[22],A1G93QD73GJ4R7
1920,562,[u'male'],A1G93QD73GJ4R7
1921,568,[u'                so      u        n   ded   it                                          o         u      t                                        '],A1G93QD73GJ4R7
1922,566,[u'                                                                                         e    n      g     l       i    s    h                                '],A1G93QD73GJ4R7
2081,562,[u'male'],A1HN4550TIXQBZ
2082,568,[u'I used the information in my head and sounded out the word to understand if it made any sense.'],A1HN4550TIXQBZ
2083,566,[u'English'],A1HN4550TIXQBZ
2084,558,[28],A1HN4550TIXQBZ
2085,564,[u'English'],A1HN4550TIXQBZ
2206,564,[u'English'],A1IS0218RVG60K
2207,566,[u'English'],A1IS0218RVG60K
2208,562,[u'female'],A1IS0218RVG60K
2209,558,[39],A1IS0218RVG60K
2210,568,[u'Whether it could be pronounced'],A1IS0218RVG60K
2332,558,[44],A1JE8JMKJBVHNH
2333,564,[u'English'],A1JE8JMKJBVHNH
2334,568,[u'If consonants would work together and if I could pronounce it easily'],A1JE8JMKJBVHNH
2335,562,[u'male'],A1JE8JMKJBVHNH
2336,566,[u'English'],A1JE8JMKJBVHNH
2538,564,[u'English'],A1LI3JQS2VBOXC
2539,568,[u'The amount of vowels in the words'],A1LI3JQS2VBOXC
2540,558,[42],A1LI3JQS2VBOXC
2541,566,[u'English'],A1LI3JQS2VBOXC
2542,562,[u'female'],A1LI3JQS2VBOXC
2583,562,[u'male'],A1M1TSMJB12177
2584,558,[57],A1M1TSMJB12177
2585,566,[u'English'],A1M1TSMJB12177
2586,568,[u'none'],A1M1TSMJB12177
2587,564,[u'English'],A1M1TSMJB12177
2746,566,[u'English'],A1NCAF2Y02LNOM
2747,564,[u'english'],A1NCAF2Y02LNOM
2748,562,[u'female'],A1NCAF2Y02LNOM
